"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","nother-Super-Server",,,,"User:","nother"
"Cmdline:","dstat -tcmnd --output 0.5_10g.csv 1",,,,"Date:","30 Nov 2025 15:09:45 CST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
30-11 15:10:41,4.571,0.750,94.679,0,0,23706173440,106181545984,987312128,136786440192,28169050,77052,0,0
30-11 15:10:42,0.835,1.893,97.217,0.056,0,23707828224,105968533504,987312128,136992878592,123055004,342827,0,714645504
30-11 15:10:43,0.667,0.431,98.888,0.014,0,23708221440,105990037504,987312128,136971071488,123037718,331765,0,123068416
30-11 15:10:44,0.417,0.320,99.264,0,0,23708610560,105870995456,987324416,137086738432,120857095,336322,0,360448
30-11 15:10:45,0.444,0.389,99.167,0,0,23708540928,105750654976,987324416,137204027392,122625279,346157,0,0
30-11 15:10:46,2.445,0.653,96.902,0,0,23787294720,105551175680,987324416,137320935424,122314706,336025,0,0
30-11 15:10:47,5.744,0.793,93.463,0,0,23984087040,105232515072,987324416,137438658560,122894698,312649,0,0
30-11 15:10:48,9.126,0.943,89.931,0,0,24226480128,104868356096,987324416,137556656128,122901837,310927,0,0
30-11 15:10:49,15.184,1.311,83.505,0,0,24593555456,104380219392,987332608,137674518528,123085102,301980,0,450560
30-11 15:10:50,12.332,0.679,86.989,0,0,24840642560,104012378112,987332608,137791959040,122753149,325167,0,0
30-11 15:10:51,5.719,0.737,93.544,0,0,24915951616,103739756544,987332608,137983741952,123024991,330280,0,0
30-11 15:10:52,8.647,1.128,90.226,0,0,25103179776,103309774848,987332608,138219597824,123037617,304869,0,0
30-11 15:10:53,13.691,1.600,84.709,0,0,25408954368,102729535488,987332608,138486427648,122378709,267769,0,0
30-11 15:10:54,23.524,2.800,73.662,0.014,0,25408864256,102524612608,987340800,138685165568,122864155,262199,0,279879680
30-11 15:10:55,17.565,2.291,80.131,0.014,0,25107513344,102697373696,987340800,138810593280,123079347,326939,0,279240704
30-11 15:10:56,14.610,1.711,83.679,0,0,25347338240,102175895552,987340800,139084304384,123003159,333611,0,0
30-11 15:10:57,20.854,1.906,77.240,0,0,25784254464,101418156032,987340800,139395350528,123068643,286497,0,0
30-11 15:10:58,25.153,2.211,72.636,0,0,26314989568,100438544384,987340800,139831857152,123000741,249864,0,0
30-11 15:10:59,25.829,3.012,71.159,0,0,26782552064,99464536064,987344896,140324294656,120641605,256444,0,811008
30-11 15:11:00,20.139,2.621,77.212,0.028,0,26504331264,99430764544,987344896,140628516864,123034191,263576,0,516743168
30-11 15:11:01,22.125,2.472,75.389,0.014,0,26303569920,99272876032,987344896,140977229824,123114544,278204,0,259579904
30-11 15:11:02,22.517,1.972,75.510,0,0,26167480320,99266076672,987344896,141117030400,123078992,307486,0,61399040
30-11 15:11:03,21.824,2.752,75.424,0,0,26034798592,98815447040,987344896,141684879360,123024428,270057,0,114622464
30-11 15:11:04,17.912,2.342,79.732,0.014,0,26345271296,98203656192,987365376,141977055232,122975806,250835,0,270237696
30-11 15:11:05,24.965,2.731,72.304,0,0,26282606592,98013347840,987365376,142224166912,123138085,274134,0,174383104
30-11 15:11:06,22.490,2.468,75.042,0,0,26146148352,97879863296,987365376,142484844544,122997514,279090,0,65536
30-11 15:11:07,23.585,3.066,73.349,0,0,26020720640,99144798208,987365376,141376540672,121431912,277028,0,558415872
30-11 15:11:08,17.609,2.104,80.287,0,0,26334695424,98540302336,987365376,141657886720,123065333,249360,0,286720
30-11 15:11:09,26.948,2.736,70.315,0,0,26272911360,98051981312,987377664,142195531776,122747877,248933,0,925696
30-11 15:11:10,23.136,2.212,74.652,0,0,26670292992,97399373824,987377664,142443765760,122676208,281921,0,279175168
30-11 15:11:11,20.022,2.229,77.734,0.014,0,26364862464,97410547712,987377664,142730534912,122936266,326092,0,279240704
30-11 15:11:12,7.875,1.837,90.288,0,0,25461669888,97913618432,987377664,143120879616,123179658,333561,0,131072
30-11 15:11:13,5.270,1.831,92.885,0.014,0,24895275008,98126442496,987377664,143466565632,123015250,343018,0,910073856
30-11 15:11:14,4.932,1.417,93.651,0,0,24899977216,97805357056,987389952,143773777920,123015457,341764,0,279838720
30-11 15:11:15,2.960,1.334,95.707,0,0,24331890688,98189701120,987389952,143952875520,122940205,340145,0,279240704
30-11 15:11:16,1.588,0.780,97.632,0,0,23760031744,98630799360,987389952,144080789504,122779089,345356,0,279240704
30-11 15:11:17,1.862,0.431,97.707,0,0,23762325504,98318913536,987389952,144381722624,122582058,348170,0,0
30-11 15:11:18,1.168,0.765,98.054,0.014,0,23761666048,99452067840,987389952,143279792128,122721845,344183,0,279371776
30-11 15:11:19,1.210,0.584,98.206,0,0,23762112512,99122704384,987402240,143600238592,122610016,346979,0,524288
30-11 15:11:20,1.252,0.487,98.262,0,0,23761100800,98793480192,987402240,143921098752,123037709,347085,0,0
30-11 15:11:21,1.361,0.472,98.166,0,0,23762165760,98463199232,987402240,144241389568,123057489,344949,0,0
30-11 15:11:22,1.348,0.473,98.179,0,0,23762718720,98133000192,987402240,144562466816,123028624,347131,0,0
30-11 15:11:23,3.158,0.710,95.993,0.139,0,23831867392,97746771968,987402240,144870539264,118840173,334639,0,1117347840
30-11 15:11:24,1.723,0.500,97.777,0,0,23838400512,97409122304,987406336,145192693760,123155008,345115,0,303104
30-11 15:11:25,1.113,0.668,98.219,0,0,23838756864,98540302336,987406336,144090963968,123036757,349537,0,0
30-11 15:11:26,1.292,0.514,98.194,0,0,23838588928,98212323328,987406336,144410701824,123036876,344843,0,0
30-11 15:11:27,1.361,0.667,97.972,0,0,23838113792,97884385280,987406336,144730673152,123060126,347267,0,0
30-11 15:11:28,1.322,0.459,98.205,0.014,0,23837650944,97554878464,987406336,145051688960,123035051,347489,0,217948160
30-11 15:11:29,1.389,0.847,97.473,0.292,0,23837499392,97225146368,987414528,145372180480,123061879,344389,0,2574647296
30-11 15:11:30,1.265,0.598,98.138,0,0,23838203904,96897060864,987414528,145691029504,123036505,347623,0,0
30-11 15:11:31,1.486,0.445,98.069,0,0,23838314496,96569528320,987414528,146009554944,121548306,348196,0,0
30-11 15:11:32,1.196,0.584,98.219,0,0,23839137792,97702862848,987414528,144905662464,122452840,345991,0,0
30-11 15:11:33,1.349,0.403,98.248,0,0,23838736384,97373872128,987414528,145226526720,123035776,346955,0,0
30-11 15:11:34,1.389,0.570,98.014,0.028,0,23837999104,97045512192,987422720,145546600448,122042221,344167,0,279986176
30-11 15:11:35,1.419,0.250,98.331,0,0,23838121984,96715653120,987422720,145867579392,122817133,344521,0,0
30-11 15:11:36,1.336,0.473,98.191,0,0,23838724096,96386633728,987422720,146187390976,122065105,344550,0,0
30-11 15:11:37,1.320,0.556,98.124,0,0,23838334976,96056700928,987422720,146508292096,122114792,344140,0,0
30-11 15:11:38,1.252,0.445,98.303,0,0,23838322688,95727484928,987422720,146828972032,122160182,342600,0,0
30-11 15:11:39,1.085,0.946,97.774,0.195,0,23838212096,96859668480,987451392,145726607360,123034262,345856,0,1964294144
30-11 15:11:40,1.418,0.612,97.859,0.111,0,23838687232,96532402176,987455488,146045329408,121993701,344088,0,1107468288
30-11 15:11:41,1.293,0.431,98.276,0,0,23837995008,96204734464,987455488,146364391424,122020725,342212,0,0
30-11 15:11:42,1.335,0.487,98.179,0,0,23838408704,95876083712,987455488,146684149760,122230833,345430,0,0
30-11 15:11:43,1.418,0.375,98.206,0,0,23838560256,95589527552,987455488,146962776064,116887924,328816,0,0
30-11 15:11:44,1.181,0.250,98.569,0,0,23838351360,95380082688,987459584,147166289920,3296,1836,0,327680
30-11 15:11:45,1.195,0.347,98.444,0.014,0,23838556160,95170654208,987459584,147369865216,2883,2679,0,280371200
30-11 15:11:46,1.112,0.389,98.499,0,0,23838179328,96423284736,987459584,146151235584,2602,1489,0,0
30-11 15:11:47,1.584,0.264,98.153,0,0,23838064640,96214040576,987459584,146355310592,256856,1665,0,0
30-11 15:11:48,3.027,0.375,96.599,0,0,23907160064,95941361664,987459584,146553323520,3072,5644,0,0
30-11 15:11:49,1.584,0.264,98.152,0,0,23905185792,95731150848,987463680,146759794688,3171810,1415,0,286720
30-11 15:11:50,2.681,0.639,96.347,0.333,0,23905579008,95518412800,987480064,146966761472,7947642,3575,0,2791743488
30-11 15:11:51,1.278,0.278,98.444,0,0,23905329152,95305637888,987480064,147174031360,37116,2379,0,0
30-11 15:11:52,1.209,0.264,98.527,0,0,23904497664,95093030912,987480064,147381243904,580,1415,0,0
30-11 15:11:53,1.208,0.444,98.347,0,0,23905849344,96374960128,987480064,146132054016,358,2245,0,0
30-11 15:11:54,1.251,0.278,98.471,0,0,23905783808,96171528192,987488256,146330558464,710,4204,0,352256
30-11 15:11:55,3.374,0.486,96.140,0,0,23923871744,96279973888,987488256,146208382976,2026,4163,0,0
30-11 15:11:56,3.532,0.820,95.314,0.334,0,23929315328,96115683328,987492352,146363183104,1859,5254,0,2791735296
30-11 15:11:57,2.599,0.542,96.859,0,0,23927283712,95952646144,987492352,146524069888,1683,5558,0,0
30-11 15:11:58,1.974,0.487,97.540,0,0,23949422592,95767035904,987492352,146683666432,1712,4115,0,0
30-11 15:11:59,1.793,0.584,97.623,0,0,23950450688,95597096960,987504640,146848235520,1829,4848,0,352256
30-11 15:12:00,2.003,0.529,97.468,0,0,23949983744,95432499200,987504640,147008585728,1753,5658,0,0
30-11 15:12:01,1.959,0.514,97.527,0,0,23952838656,95258759168,987504640,147174846464,1150,3054,0,0
30-11 15:12:02,1.726,0.585,97.690,0,0,23955546112,95090667520,987504640,147335958528,3296,4698,0,0
30-11 15:12:03,1.876,0.514,97.610,0,0,23957807104,94919118848,987504640,147500630016,1472,5583,0,0
30-11 15:12:04,1.848,0.528,97.624,0,0,23958208512,94751051776,987504640,147663364096,1243,3054,0,106496
30-11 15:12:05,1.861,0.444,97.694,0,0,23958749184,94583148544,987504640,147826397184,1215,5866,0,0
30-11 15:12:06,1.795,0.654,97.439,0.111,0,23960621056,94416318464,987504640,147986636800,2965,2920,0,947765248
30-11 15:12:07,1.726,0.794,97.271,0.209,0,23960956928,94248165376,987504640,148150165504,3541,6024,0,1844609024
30-11 15:12:08,1.905,0.570,97.525,0,0,23962877952,94082445312,987504640,148309491712,1743,5759,0,0
30-11 15:12:09,1.710,0.528,97.762,0,0,23963033600,93906161664,987516928,148481073152,1032,1924,0,303104
30-11 15:12:10,1.793,0.514,97.693,0,0,23963119616,93730324480,987516928,148651859968,1237,5560,0,0
30-11 15:12:11,1.847,0.570,97.583,0,0,23963271168,93555810304,987516928,148821553152,1155,4396,0,0
30-11 15:12:12,1.684,0.960,97.049,0.306,0,23963787264,93378314240,987533312,148993589248,1458,3981,0,3070976000
30-11 15:12:13,1.973,0.514,97.513,0,0,23964958720,93204914176,987533312,149161558016,1565,6018,0,0
30-11 15:12:14,1.738,0.500,97.762,0,0,23964880896,93029646336,987533312,149332094976,1220,5946,0,253952
30-11 15:12:15,1.794,0.515,97.691,0,0,23966756864,92853374976,987533312,149501628416,3172,4532,0,0
30-11 15:12:16,1.808,0.487,97.705,0,0,23967309824,92677816320,987533312,149671907328,2168,7781,0,0
30-11 15:12:17,2.109,0.555,97.336,0,0,23967432704,92503433216,987533312,149841154048,969,4860,0,0
30-11 15:12:18,1.834,0.875,96.971,0.320,0,23967322112,92328824832,987533312,150011539456,1081,2920,0,2791800832
30-11 15:12:19,1.848,0.500,97.652,0,0,23967404032,92154527744,987541504,150180847616,1436,7394,0,286720
30-11 15:12:20,1.710,0.501,97.789,0,0,23967309824,91978862592,987541504,150351790080,1585,7203,0,0
30-11 15:12:21,1.695,0.597,97.707,0,0,23967297536,91804389376,987541504,150521643008,729,1924,0,0
30-11 15:12:22,1.942,0.527,97.531,0,0,23968350208,91627532288,987541504,150692704256,1309,5530,0,0
30-11 15:12:23,1.916,0.708,97.306,0.069,0,23971860480,91448950784,987541504,150863073280,1189,5380,0,700497920
30-11 15:12:24,1.957,0.500,97.543,0,0,23972200448,91272896512,987553792,151033823232,1698,3991,0,188416
30-11 15:12:25,1.793,0.487,97.720,0,0,23972040704,91097821184,987553792,151204421632,1282,7147,0,0
30-11 15:12:26,1.628,0.487,97.885,0,0,23971254272,90924539904,987553792,151373426688,1704,2420,0,0
30-11 15:12:27,1.613,0.556,97.830,0,0,23972802560,90747691008,987553792,151543963648,1716,5473,0,0
30-11 15:12:28,1.669,0.696,97.538,0.097,0,23973318656,90571993088,987553792,151714652160,1493,5750,0,878551040
30-11 15:12:29,1.613,0.501,97.831,0.056,0,23972929536,90395607040,987561984,151886553088,980,1932,0,474488832
30-11 15:12:30,1.767,0.515,97.719,0,0,23973711872,90221129728,987561984,152055554048,1639,5604,0,0
30-11 15:12:31,1.695,0.528,97.777,0,0,23973765120,90045595648,987561984,152226381824,1803,6469,0,0
30-11 15:12:32,1.724,0.403,97.873,0,0,23973482496,89869766656,987561984,152397373440,849,1924,0,0
30-11 15:12:33,1.860,0.486,97.654,0,0,23973838848,89695350784,987561984,152566980608,790,4232,0,0
30-11 15:12:34,1.754,0.793,97.286,0.167,0,23972343808,89522679808,987570176,152736251904,1364,5540,0,1623457792
30-11 15:12:35,1.750,0.569,97.681,0,0,23972515840,89346551808,987570176,152907489280,1468,2993,0,0
30-11 15:12:36,1.847,0.514,97.639,0,0,23972642816,89169199104,987570176,153079930880,1774,5440,0,0
30-11 15:12:37,1.945,0.445,97.610,0,0,23973089280,88992342016,987570176,153251340288,2495,5692,0,0
30-11 15:12:38,1.668,0.528,97.804,0,0,23973826560,88815026176,987570176,153423245312,1861,1924,0,0
30-11 15:12:39,1.712,0.696,97.356,0.237,0,23974006784,88639569920,987578368,153593765888,1588,5567,0,1893998592
30-11 15:12:40,1.820,0.528,97.651,0,0,23973179392,88464547840,987578368,153764601856,1310,5500,0,0
30-11 15:12:41,1.654,0.459,97.887,0,0,23973793792,88288423936,987578368,153935638528,867,1924,0,0
30-11 15:12:42,1.901,0.597,97.502,0,0,23973203968,88112697344,987578368,154107293696,1143,5014,0,0
30-11 15:12:43,1.724,0.556,97.720,0,0,23974010880,87936729088,987578368,154277748736,2055,7785,0,0
30-11 15:12:44,1.614,0.473,97.913,0,0,23974141952,87761821696,987578368,154447572992,1029,2812,0,16531456
30-11 15:12:45,1.846,0.777,97.182,0.194,0,23973617664,87588016128,987578368,154617237504,1472,4788,0,1607352320
30-11 15:12:46,1.818,0.514,97.668,0,0,23973560320,87412350976,987578368,154788200448,1860,3062,0,0
30-11 15:12:47,1.876,0.431,97.694,0,0,23975530496,87234686976,987578368,154959196160,2240,5479,0,0
30-11 15:12:48,1.873,0.597,97.530,0,0,23974948864,87058075648,987578368,155131695104,3799,5520,0,0
30-11 15:12:49,1.873,0.486,97.641,0,0,23974916096,86880165888,987586560,155304566784,1837,3054,0,262144
30-11 15:12:50,1.903,0.750,97.152,0.194,0,23974797312,86705631232,987586560,155474509824,1805,5575,0,1893842944
30-11 15:12:51,1.847,0.528,97.626,0,0,23974629376,86529933312,987586560,155645845504,916,3928,0,0
30-11 15:12:52,1.929,0.430,97.641,0,0,23974928384,86353514496,987586560,155817013248,1244,3054,0,0
30-11 15:12:53,1.984,0.486,97.531,0,0,23974617088,86178562048,987586560,155987677184,910,4404,0,0
30-11 15:12:54,1.682,0.625,97.693,0,0,23975153664,86002556928,987594752,156158189568,1881,7037,0,196608
30-11 15:12:55,0.528,1.361,97.916,0.194,0,23974912000,95380357120,987594752,147026538496,789,2334,0,1591648256
30-11 15:12:56,0.418,0.348,99.192,0.042,0,23403950080,97202159616,987602944,145811525632,2705,9966,0,440590336
30-11 15:12:57,0.028,0.083,99.889,0,0,23403126784,97204285440,987602944,145811181568,546,2928,0,0
30-11 15:12:58,0.042,0.042,99.917,0,0,23404056576,97203355648,987602944,145811181568,2515,4386,0,0
30-11 15:12:59,0.028,0.042,99.931,0,0,23404064768,97203347456,987602944,145811181568,412,2252,0,0
30-11 15:13:00,0.028,0.042,99.931,0,0,23403843584,97203568640,987602944,145811181568,861,2122,0,0
