"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","nother-Super-Server",,,,"User:","nother"
"Cmdline:","dstat -tcmnd --output 0.01_20g.csv 1",,,,"Date:","26 Nov 2025 14:56:59 CST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ"
26-11 14:57:50,7.801,1.627,90.558,0.014,0,25537449984,110229549056,690651136,131190534144,119791811,308786,0,279240704,
26-11 14:57:51,7.615,0.919,91.452,0.014,0,25659383808,109928976384,690663424,131363409920,120644784,331784,0,281272320,
26-11 14:57:52,8.533,0.806,90.661,0,0,25851559936,109384183808,690663424,131706617856,119829634,340859,0,0,
26-11 14:57:53,13.539,0.934,85.527,0,0,26221682688,108683935744,690663424,132027527168,120862072,344212,0,0,
26-11 14:57:54,11.980,1.572,86.448,0,0,26472112128,109516480512,690663424,130972831744,119526805,332667,0,0,
26-11 14:57:55,20.506,1.780,77.714,0,0,26937819136,108775731200,690663424,131241607168,121038427,324053,0,0,
26-11 14:57:56,11.086,1.084,87.830,0,0,26491383808,108871991296,690675712,131583729664,120464207,345167,0,999424,
26-11 14:57:57,9.648,1.571,88.767,0.014,0,26571153408,108449894400,690675712,131916824576,123020843,341999,0,279175168,
26-11 14:57:58,15.748,1.653,82.600,0,0,26530893824,108155637760,690675712,132242718720,120757817,318016,0,0,
26-11 14:57:59,17.409,1.628,80.935,0.028,0,26795012096,107578286080,690683904,132546850816,120585478,343877,0,279240704,
26-11 14:58:00,13.896,1.295,84.809,0,0,27041341440,106985488384,690683904,132883738624,121603954,347784,0,0,
26-11 14:58:01,20.170,1.868,77.962,0,0,27025616896,106559705088,690696192,133313306624,119050418,339812,0,1490944,
26-11 14:58:02,16.391,1.613,81.982,0.014,0,26798604288,106514821120,690696192,133578592256,119197004,336031,0,279240704,
26-11 14:58:03,21.170,1.751,77.050,0.028,0,27276636160,105689833472,690696192,133916315648,122976983,311721,0,279175168,
26-11 14:58:04,17.836,1.632,80.533,0,0,27007721472,105647529984,690696192,134218842112,120040927,335639,0,65536,
26-11 14:58:05,10.898,1.573,87.516,0.014,0,27070582784,106732081152,690696192,133102333952,119998940,340816,0,279175168,
26-11 14:58:06,14.484,1.511,83.867,0.139,0,27300589568,106010505216,690786304,133581459456,120241152,339951,0,1397555200,
26-11 14:58:07,14.670,1.588,83.742,0,0,26457030656,106496278528,690802688,133928529920,120752061,348121,0,279306240,
26-11 14:58:08,12.151,1.488,86.348,0.014,0,26689503232,105914634240,690802688,134268039168,120097916,339080,0,279175168,
26-11 14:58:09,15.335,1.847,82.817,0,0,26444476416,105996226560,690802688,134426136576,123016405,352010,0,279240704,
26-11 14:58:10,14.417,1.403,84.181,0,0,26219909120,105842331648,690802688,134794002432,119342748,339680,0,65536,
26-11 14:58:11,20.194,1.358,78.434,0.014,0,26740285440,105063010304,690814976,135045955584,120190735,343071,0,280141824,
26-11 14:58:12,15.783,1.144,83.059,0.014,0,27064995840,104362422272,690814976,135412736000,119726212,344264,0,279306240,
26-11 14:58:13,18.483,1.239,80.278,0,0,27530903552,103373119488,690814976,135922475008,122225764,353296,0,0,
26-11 14:58:14,7.747,1.349,90.904,0,0,26962620416,104815947776,690814976,135071629312,123042176,357817,0,65536,
26-11 14:58:15,6.922,1.599,91.451,0.028,0,25915740160,105659846656,690814976,135267606528,119668566,341045,0,279240704,
26-11 14:58:16,9.978,1.642,88.352,0.028,0,26126827520,105070620672,690827264,135636717568,119090060,335931,0,559210496,
26-11 14:58:17,11.601,2.123,85.970,0.305,0,25820114944,105119744000,690827264,135887056896,118980693,345110,0,3071156224,
26-11 14:58:18,13.841,1.321,84.838,0,0,26157432832,104597364736,690827264,136067248128,119816940,342966,0,279175168,
26-11 14:58:19,5.654,0.709,93.637,0,0,26163630080,104273747968,690827264,136375808000,120103699,341770,0,0,
26-11 14:58:20,5.755,0.765,93.481,0,0,26218758144,103911186432,690827264,136674848768,123043594,350775,0,0,
26-11 14:58:21,14.938,1.236,83.826,0,0,26587832320,103156613120,690839552,137050247168,121318382,349698,0,778240,
26-11 14:58:22,9.660,1.227,89.058,0.056,0,26162921472,103271198720,690839552,137353973760,118937823,341882,0,560472064,
26-11 14:58:23,6.277,1.336,92.359,0.028,0,26212024320,102999932928,690839552,137568915456,118723880,339215,0,279175168,
26-11 14:58:24,8.790,1.546,89.636,0.028,0,25867931648,104534667264,690839552,136409206784,118682940,338491,0,279240704,
26-11 14:58:25,17.084,1.323,81.593,0,0,26371776512,103774519296,690839552,136658845696,119482207,343056,0,0,
26-11 14:58:26,11.934,1.142,86.924,0,0,26556616704,103237636096,690851840,137001349120,123012876,340421,0,876544,
26-11 14:58:27,16.955,1.775,81.228,0.042,0,26988179456,102479503360,690851840,137318768640,119372241,324566,0,536739840,
26-11 14:58:28,15.234,2.031,82.485,0.250,0,26700845056,102506364928,690868224,137573072896,119215033,335188,0,2813722624,
26-11 14:58:29,17.331,1.031,81.638,0,0,27073282048,101691772928,690868224,138003292160,121957503,356062,0,0,
26-11 14:58:30,12.425,1.209,86.366,0,0,26695393280,101616594944,690868224,138444935168,119030463,341841,0,65536,
26-11 14:58:31,7.203,1.170,91.613,0.014,0,26749284352,101229940736,690880512,138768482304,123122830,351817,0,280035328,
26-11 14:58:32,10.834,1.241,87.911,0.014,0,26445881344,101116825600,690880512,139174191104,119200328,337188,0,279240704,
26-11 14:58:33,9.498,1.353,89.107,0.042,0,26079928320,101104750592,690880512,139541975040,118572481,335874,0,559177728,
26-11 14:58:34,12.836,2.060,85.090,0.014,0,25829408768,102645313536,690880512,138283954176,118903099,332502,0,279240704,
26-11 14:58:35,13.964,1.293,84.743,0,0,26150383616,102106779648,690884608,138496479232,120195500,328180,0,279175168,
26-11 14:58:36,20.737,1.621,77.642,0,0,26710253568,101228617728,690896896,138805698560,120162102,313716,0,974848,
26-11 14:58:37,21.769,1.448,76.783,0,0,27251982336,100342767616,690896896,139141144576,122928355,347068,0,0,
26-11 14:58:38,14.983,1.558,83.236,0.223,0,27412332544,99698327552,690896896,139612700672,121936537,353928,0,2216951808,
26-11 14:58:39,15.364,1.582,82.929,0.125,0,27078070272,99569180672,690896896,140064198656,118729641,336243,0,1412620288,
26-11 14:58:40,13.429,1.433,85.138,0,0,27312680960,98919276544,690905088,140468830208,119677770,340595,0,279175168,
26-11 14:58:41,12.310,1.655,86.034,0,0,27007746048,98843107328,690929664,140840071168,118806332,340261,0,280043520,
26-11 14:58:42,9.695,1.433,88.858,0.014,0,26642935808,98852044800,690941952,141186342912,119215361,338441,0,279240704,
26-11 14:58:43,13.144,2.175,84.681,0,0,26387750912,100342824960,690941952,139982036992,123068116,349746,0,279240704,
26-11 14:58:44,14.737,1.654,83.595,0.014,0,26162958336,100293861376,690958336,140249337856,119642773,340813,0,279527424,
26-11 14:58:45,16.567,1.240,82.193,0,0,26550685696,99550752768,690974720,140594794496,119639148,339396,0,0,
26-11 14:58:46,20.986,1.393,77.622,0,0,27048419328,98695860224,690987008,140942319616,122266716,351770,0,974848,
26-11 14:58:47,20.025,1.292,78.683,0,0,27418460160,97850687488,690987008,141405474816,119196853,340990,0,0,
26-11 14:58:48,15.922,1.221,82.857,0,0,27655864320,97174704128,690987008,141832544256,123144207,349911,0,0,
26-11 14:58:49,13.921,1.955,83.775,0.349,0,27319242752,97070854144,690991104,142261059584,121038229,347228,0,3629555712,
26-11 14:58:50,12.714,1.515,85.772,0,0,26968965120,97054982144,690991104,142617501696,122479449,355441,0,279240704,
26-11 14:58:51,5.997,1.294,92.709,0,0,26440290304,97257250816,691003392,142936240128,57820954,171490,0,279994368,
26-11 14:58:52,7.489,1.695,90.816,0,0,25831530496,99218825216,691003392,141617864704,41397,4886,0,279240704,
26-11 14:58:53,11.875,1.350,86.774,0,0,25813372928,98951057408,691003392,141896839168,122085262,351354,0,279240704,
26-11 14:58:54,13.997,0.877,85.125,0,0,26157588480,98414227456,691007488,142082650112,23969831,72421,0,0,
26-11 14:58:55,20.555,1.702,77.477,0.265,0,26736283648,97597931520,691023872,142313046016,19384,6057,0,3072024576,
26-11 14:58:56,16.653,1.253,82.094,0,0,27058589696,96922882048,691036160,142656258048,121606408,353550,0,1114112,
26-11 14:58:57,19.091,1.542,79.366,0,0,27434192896,96035921920,691036160,143154380800,119994869,341096,0,0,
26-11 14:58:58,14.515,1.676,83.809,0,0,27094806528,95966425088,691040256,143552585728,122379317,354044,0,65536,
26-11 14:58:59,13.051,1.445,85.490,0.014,0,27339063296,95316295680,691044352,143946571776,73913709,214408,0,279175168,
26-11 14:59:00,11.086,1.530,87.314,0.070,0,26983350272,96899518464,691056640,142751850496,5535,7940,0,1118470144,
26-11 14:59:01,5.091,1.127,93.754,0.028,0,26433708032,97151696896,691073024,143042375680,5668,9182,0,280010752,
26-11 14:59:02,7.070,1.695,91.235,0,0,25483362304,97902891008,691077120,143237058560,120189425,346108,0,279306240,
26-11 14:59:03,11.606,1.113,87.267,0.014,0,25815965696,97375666176,691081216,143425409024,25783303,77832,0,279175168,
26-11 14:59:04,14.288,1.155,84.558,0,0,26158096384,96751325184,691093504,143699521536,119732221,348533,0,0,
26-11 14:59:05,17.691,1.530,80.695,0.083,0,26601992192,95950766080,691126272,144046600192,122618304,357416,0,1435869184,
26-11 14:59:06,15.552,1.394,82.818,0.237,0,26853294080,95334150144,691146752,144402477056,122520117,356966,0,2474213376,
26-11 14:59:07,17.047,1.141,81.812,0,0,27226488832,94464081920,691146752,144886644736,122361770,351556,0,0,
26-11 14:59:08,13.829,1.312,84.859,0,0,27504574464,93792841728,691146752,145268101120,96631617,274498,0,0,
26-11 14:59:09,16.211,1.829,81.932,0.028,0,27332222976,95167070208,691154944,144098889728,18409,6005,0,279240704,
26-11 14:59:10,11.905,1.573,86.494,0.028,0,26378403840,95791009792,691159040,144420544512,118857688,345322,0,279240704,
26-11 14:59:11,10.249,1.281,88.456,0.014,0,26521853952,95336206336,691171328,144724729856,122406240,357447,0,559448064,
26-11 14:59:12,11.720,1.223,87.029,0.028,0,26174271488,95363567616,691179520,145036943360,122583573,355274,0,279240704,
26-11 14:59:13,6.935,0.667,92.397,0,0,26254069760,94827413504,691179520,145481576448,74036160,214207,0,0,
26-11 14:59:14,7.040,0.558,92.402,0,0,26398420992,94530482176,691179520,145629503488,4676,8374,0,0,
26-11 14:59:15,3.264,0.972,95.736,0.028,0,25833099264,94757154816,691179520,145959968768,4292,7332,0,279240704,
26-11 14:59:16,2.336,0.959,96.371,0.334,0,25263808512,95200030720,691191808,146082820096,7113,12321,0,2933088256,
26-11 14:59:17,1.196,1.099,97.552,0.153,0,25264156672,96346816512,691208192,144966627328,117354736,341454,0,1534754816,
26-11 14:59:18,1.390,0.514,98.096,0,0,25263964160,96023191552,691208192,145282220032,120156600,347404,0,0,
26-11 14:59:19,1.516,0.348,98.136,0,0,25263751168,95695216640,691208192,145601142784,122573015,354796,0,0,
26-11 14:59:20,1.293,0.514,98.193,0,0,25262538752,95369162752,691208192,145919746048,122540335,354861,0,0,
26-11 14:59:21,1.377,0.389,98.234,0,0,25263419392,95040978944,691220480,146238181376,122473046,352495,0,729088,
26-11 14:59:22,1.614,1.043,96.954,0.389,0,25256411136,94727925760,691245056,146549952512,122178500,348960,0,3629703168,
26-11 14:59:23,1.390,0.431,98.179,0,0,25256259584,94401613824,691245056,146867404800,122602165,355379,0,0,
26-11 14:59:24,1.572,0.682,97.747,0,0,25276833792,95516426240,691245056,145761812480,122372259,350330,0,0,
26-11 14:59:25,6.253,0.738,93.009,0,0,25472045056,95024259072,691249152,146050449408,119432212,340290,0,0,
26-11 14:59:26,11.096,0.906,87.998,0,0,25768873984,94443274240,691261440,146326867968,118290529,340881,0,802816,
26-11 14:59:27,9.671,0.791,89.538,0,0,25924415488,93989261312,691261440,146617311232,122326673,355724,0,1105920,
26-11 14:59:28,14.057,1.031,84.912,0,0,26337607680,93198807040,691261440,146984591360,122997323,352109,0,0,
26-11 14:59:29,5.292,0.613,94.096,0,0,26381275136,92770840576,691261440,147358662656,119010547,339282,0,0,
26-11 14:59:30,4.714,0.681,94.605,0,0,26383773696,92294746112,691261440,147820298240,119178061,335862,0,0,
26-11 14:59:31,4.157,1.196,94.648,0,0,25816272896,92757360640,691273728,147920965632,122113052,348976,0,409600,
26-11 14:59:32,2.033,1.128,96.798,0.042,0,25252802560,94271574016,691273728,146996957184,118624377,334545,0,739065856,
26-11 14:59:33,1.472,1.055,97.112,0.361,0,25252548608,93942284288,691273728,147317768192,118402904,332619,0,2612346880,
26-11 14:59:34,1.474,0.417,98.109,0,0,25252732928,93612937216,691273728,147638067200,123060488,345753,0,0,
26-11 14:59:35,4.686,0.375,94.938,0,0,25396174848,93263314944,691273728,147838754816,109520722,304527,0,0,
26-11 14:59:36,1.363,0.334,98.303,0,0,25396862976,92984807424,691286016,148108775424,122199637,343245,0,671744,
26-11 14:59:37,1.404,0.347,98.249,0,0,25396785152,92702142464,691286016,148383879168,75556740,213740,0,0,
26-11 14:59:38,1.222,0.236,98.541,0,0,25396576256,92493697024,691286016,148586713088,1413,2577,0,688128,
26-11 14:59:39,1.028,0.375,98.596,0,0,25396723712,93744156672,691286016,147369701376,1185,2025,0,0,
26-11 14:59:40,1.306,0.236,98.457,0,0,25396912128,93533880320,691286016,147574575104,1244,2025,0,0,
26-11 14:59:41,1.209,0.222,98.569,0,0,25396903936,93322018816,691294208,147780595712,1234,2683,0,434176,
26-11 14:59:42,1.236,0.208,98.555,0,0,25396436992,93110702080,691294208,147986481152,1304,2457,0,0,
26-11 14:59:43,1.251,0.570,97.943,0.236,0,25396400128,92898902016,691318784,148192583680,27735,2025,0,2016813056,
26-11 14:59:44,1.973,0.347,97.610,0.069,0,25396269056,92687441920,691318784,148398477312,907357,2577,0,775118848,
26-11 14:59:45,2.627,0.195,97.178,0,0,25396158464,92476665856,691318784,148603682816,1964992,2025,0,0,
26-11 14:59:46,2.953,0.236,96.811,0,0,25396379648,92265058304,691331072,148809207808,1934863,2025,0,303104,
26-11 14:59:47,2.717,0.250,97.034,0,0,25395527680,92054388736,691331072,149015031808,2519200,2869,0,0,
26-11 14:59:48,1.306,0.208,98.485,0,0,25395511296,91842588672,691331072,149221097472,47670,2025,0,0,
26-11 14:59:49,1.403,0.778,97.429,0.389,0,25396056064,91636191232,691331072,149421289472,2485,2025,0,3629277184,
26-11 14:59:50,1.334,0.125,98.541,0,0,25396162560,91435696128,691331072,149616623616,11903,2577,0,0,
26-11 14:59:51,1.153,0.250,98.596,0,0,25395646464,91237830656,691343360,149809655808,1406,2025,0,319488,
26-11 14:59:52,1.251,0.208,98.541,0,0,25395216384,91039457280,691343360,150002610176,2544,2025,0,0,
26-11 14:59:53,1.292,0.222,98.485,0,0,25395740672,90840801280,691343360,150195408896,1752,2577,0,0,
26-11 14:59:54,1.209,0.264,98.486,0.042,0,25395810304,90642452480,691343360,150388666368,1946,2025,0,328744960,
26-11 14:59:55,1.181,0.917,97.527,0.375,0,25395748864,90444169216,691380224,150581624832,2577,2025,0,3858989056,
26-11 14:59:56,1.264,0.264,98.472,0,0,25395474432,90245603328,691392512,150774624256,2171,2577,0,335872,
26-11 14:59:57,1.278,0.194,98.528,0,0,25395589120,90046996480,691392512,150967746560,2994,2025,0,0,
26-11 14:59:58,5.273,0.430,94.297,0,0,25547411456,90986975232,691392512,149902970880,11180,2025,0,0,
26-11 14:59:59,1.056,0.445,98.500,0,0,25547010048,93586907136,691392512,147375611904,1234,2683,0,0,
26-11 15:00:00,1.196,0.403,98.276,0.125,0,25547096064,93377114112,691392512,147580112896,4614,2601,0,1117036544,
26-11 15:00:01,1.251,0.181,98.569,0,0,25547071488,93166546944,691404800,147784978432,2804,2025,0,704512,
26-11 15:00:02,1.265,0.250,98.485,0,0,25547415552,92955623424,691404800,147990679552,1901,2577,0,0,
26-11 15:00:03,1.320,0.222,98.458,0,0,25546969088,92744597504,691404800,148196016128,2369,2025,0,0,
26-11 15:00:04,1.167,0.306,98.527,0,0,25547096064,92533055488,691404800,148401733632,1304,2025,0,0,
26-11 15:00:05,1.265,0.278,98.430,0.028,0,25547108352,92321165312,691404800,148607922176,1662,2577,0,267657216,
26-11 15:00:06,1.222,0.903,97.458,0.417,0,25547116544,92111790080,691417088,148811436032,1912,2025,0,4200882176,
26-11 15:00:07,1.167,0.264,98.569,0,0,25547223040,91900215296,691417088,149017202688,2348,2984,0,0,
26-11 15:00:08,1.278,0.222,98.499,0,0,25546997760,91688439808,691417088,149223514112,1413,2577,0,0,
26-11 15:00:09,1.181,0.222,98.596,0,0,25547829248,91476348928,691417088,149429059584,1853,2025,0,0,
26-11 15:00:10,1.251,0.236,98.513,0,0,25547042816,91265163264,691417088,149635149824,1364,2025,0,0,
26-11 15:00:11,1.376,0.389,98.152,0.083,0,25547132928,91053662208,691429376,149840846848,1294,2577,0,1090486272,
26-11 15:00:12,1.140,1.598,96.595,0.667,0,25549619200,93664403456,691429376,147297873920,1424,2025,0,6409420800,
26-11 15:00:13,1.195,0.292,98.485,0.028,0,25547796480,93473492992,691429376,147485376512,1883,2079,0,317227008,
26-11 15:00:14,1.223,0.278,98.499,0,0,25548099584,93249507328,691429376,147703504896,1093,1932,0,0,


"Host:","nother-Super-Server",,,,"User:","nother"
"Cmdline:","dstat -tcmnd --output 0.01_20g.csv 1",,,,"Date:","27 Nov 2025 20:01:46 CST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ"
27-11 20:01:46,0.134,0.014,99.852,0.000,0,25108201472,105975644160,767922176,135860678656,0,0,573248.602,313875.267,
27-11 20:01:47,0.014,0,99.986,0,0,25107918848,105975533568,767922176,135860678656,292,1136,0,0,
27-11 20:01:48,0.014,0.056,99.931,0,0,25107968000,105975541760,767922176,135860678656,885,1238,0,0,
27-11 20:01:49,0.028,0.056,99.917,0,0,25107968000,105975468032,767922176,135860678656,808,1700,0,57344,
27-11 20:01:50,0.069,0.028,99.903,0,0,25108185088,105975250944,767922176,135860678656,15735,5857840,0,0,
27-11 20:01:51,0.208,0.222,99.569,0,0,25108520960,105972097024,767922176,135861260288,582452,21379,0,0,
27-11 20:01:52,3.756,0.390,95.854,0,0,25226145792,105855033344,767922176,135861903360,2466,3344,0,0,
27-11 20:01:53,4.461,0.264,95.275,0,0,25445408768,105635704832,767922176,135861968896,2157,2189,0,0,
27-11 20:01:54,3.921,0.264,95.815,0,0,25544351744,105536634880,767930368,135861972992,4350,6003,0,565248,
27-11 20:01:55,3.758,0.237,96.005,0,0,25575288832,105505689600,767930368,135861981184,2409,1389,0,0,
27-11 20:01:56,8.350,0.417,91.234,0,0,25625219072,105455644672,767930368,135862046720,4236,5793,0,0,
27-11 20:01:57,1.056,0.111,98.833,0,0,25636536320,105443803136,767930368,135862325248,1919,4855,0,0,
27-11 20:01:58,0.014,0.014,99.972,0,0,25636794368,105443545088,767930368,135862325248,1654,2706,0,0,
27-11 20:01:59,0.709,0.125,99.166,0,0,25638322176,105441546240,767930368,135862329344,2439,4454,0,4227072,
27-11 20:02:00,4.370,0.473,95.157,0,0,25792475136,105286328320,767930368,135862509568,1427,3220,0,0,
27-11 20:02:01,9.438,0.749,89.813,0,0,26101358592,104976056320,767930368,135863021568,1988,3135,0,0,
27-11 20:02:02,12.985,1.196,85.820,0,0,26435616768,104640172032,767930368,135863459840,10222,6628,0,0,
27-11 20:02:03,21.491,1.422,77.087,0,0,26991542272,104082821120,767930368,135863877632,10233,6746,0,0,
27-11 20:02:04,17.023,1.111,81.866,0,0,27366891520,103637823488,767934464,135932956672,9980,5180,0,23552000,
27-11 20:02:05,27.012,1.450,71.538,0,0,27979296768,102944894976,767934464,136012525568,9720,6255,0,0,
27-11 20:02:06,27.600,1.227,71.174,0,0,28530978816,102247841792,767934464,136154845184,10705,9421,0,0,
27-11 20:02:07,12.270,1.002,86.728,0,0,28579868672,102051938304,767934464,136297209856,10659,6413,0,0,
27-11 20:02:08,20.303,1.503,78.194,0,0,28359176192,102118281216,767934464,136446767104,3804,9313,0,0,
27-11 20:02:09,11.175,0.892,87.934,0,0,27920949248,102461169664,767938560,136541822976,4278,9494,0,630784,
27-11 20:02:10,9.668,1.431,88.901,0,0,27490684928,102758617088,767938560,136670085120,4330,6959,0,0,
27-11 20:02:11,13.736,1.349,84.916,0,0,27220426752,102987829248,767938560,136710918144,3444,6571,0,0,
27-11 20:02:12,13.431,1.258,85.311,0,0,26983890944,103234502656,767938560,136701702144,13950,8804,0,0,
27-11 20:02:13,18.391,1.472,80.136,0,0,26844291072,103373340672,767938560,136701718528,17759,13957,0,65536,
27-11 20:02:14,12.446,0.976,86.509,0.070,0,27036680192,103108993024,767942656,136772100096,15650,7983,0,839442432,
27-11 20:02:15,22.350,1.334,76.316,0,0,27544694784,102520418304,767942656,136849965056,2851,6564,0,0,
27-11 20:02:16,21.545,1.236,77.219,0,0,27967000576,101956685824,767942656,136987070464,17539,12285,0,0,
27-11 20:02:17,11.137,1.000,87.863,0,0,28016541696,101809418240,767942656,137082458112,18988,12049,0,0,
27-11 20:02:18,8.067,0.848,91.085,0,0,27466932224,102232326144,767942656,137206001664,4773,8267,0,65536,
27-11 20:02:19,19.764,1.513,78.709,0.014,0,27378409472,102255685632,767950848,137268891648,5847,7375,0,827392,
