"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","nother-Super-Server",,,,"User:","nother"
"Cmdline:","dstat -tcmnd --output 0.8_20g.csv 1",,,,"Date:","27 Nov 2025 20:19:10 CST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
27-11 20:20:11,16.416,1.311,82.273,0,0,27479592960,100769878016,770625536,138598547456,16360,5581,0,0
27-11 20:20:12,15.389,1.227,83.384,0,0,27182714880,100933242880,770625536,138730237952,17588,7953,0,65536
27-11 20:20:13,28.367,2.152,69.272,0.208,0,27802669056,100304629760,770625536,138738380800,15893,10326,0,3072876544
27-11 20:20:14,16.528,0.806,82.667,0,0,27490471936,100542197760,770629632,138811949056,18551,9862,0,811008
27-11 20:20:15,7.093,0.569,92.338,0,0,27496361984,100321247232,770629632,139021889536,3896,9084,0,0
27-11 20:20:16,13.847,1,85.153,0,0,27489619968,100191604736,770629632,139154960384,4908,8743,0,0
27-11 20:20:17,5.063,0.765,94.172,0,0,27161219072,100439158784,770629632,139233865728,3982,9817,0,65536
27-11 20:20:18,4.153,0.850,94.997,0,0,26071994368,101462487040,770629632,139298549760,6731,11458,0,131072
27-11 20:20:19,6.056,0.821,93.123,0,0,25675939840,101937291264,770641920,139221598208,6170,5815,0,663552
27-11 20:20:20,10.103,0.920,88.977,0,0,25979740160,101633306624,770641920,139221684224,7190,9870,0,0
27-11 20:20:21,13.400,0.878,85.722,0,0,26271760384,101340934144,770641920,139222003712,20388,12074,0,0
27-11 20:20:22,10.553,0.501,88.946,0,0,26437435392,101174947840,770641920,139222315008,18631,9435,0,0
27-11 20:20:23,15.390,0.862,83.748,0,0,26741952512,100794425344,770641920,139296337920,19516,9008,0,0
27-11 20:20:24,17.525,1.000,81.475,0,0,27153408000,100301778944,770646016,139374043136,2672,5438,0,589824
27-11 20:20:25,21.733,1.426,76.841,0,0,27685892096,99555135488,770646016,139582021632,6646,5429,0,0
27-11 20:20:26,17.314,1.420,81.267,0,0,27696214016,99475976192,770646016,139648012288,17611,8007,0,0
27-11 20:20:27,21.187,1.877,76.936,0,0,27606769664,99524489216,770646016,139687866368,16352,6578,0,65536
27-11 20:20:28,24.580,1.570,73.850,0,0,27913506816,99188211712,770646016,139715850240,17154,6269,0,65536
27-11 20:20:29,14.592,1.073,84.334,0,0,27618254848,99408367616,770658304,139789746176,2751,6117,0,794624
27-11 20:20:30,21.340,1.212,77.448,0,0,28009844736,98832146432,770658304,139969871872,17547,7174,0,0
27-11 20:20:31,17.383,1.138,81.479,0,0,28260589568,98506420224,770658304,140042625024,18246,12045,0,0
27-11 20:20:32,9.459,1.071,89.470,0,0,27755642880,98854469632,770658304,140194938880,5446,10492,0,65536
27-11 20:20:33,8.981,1.074,89.946,0,0,27346538496,99249176576,770658304,140208390144,3824,4942,0,65536
27-11 20:20:34,13.444,1.240,85.316,0,0,27080617984,99394719744,770666496,140326924288,2929,5760,0,696320
27-11 20:20:35,16.456,1.502,82.042,0,0,27415121920,98991370240,770666496,140391608320,18899,8434,0,0
27-11 20:20:36,23.336,1.619,75.045,0,0,27422810112,99036590080,770666496,140340273152,19150,7321,0,65536
27-11 20:20:37,20.662,1.173,78.166,0,0,27276132352,99108360192,770666496,140414144512,7495058,8301,0,65536
27-11 20:20:38,26.107,1.287,72.607,0,0,27824816128,98482868224,770666496,140488523776,221045,7532,0,0
27-11 20:20:39,15.608,1.087,83.292,0.014,0,28026605568,98111696896,770666496,140653522944,15966,5754,0,281182208
27-11 20:20:40,20.480,1.277,78.242,0,0,28371697664,97598029824,770666496,140817432576,2371,6599,0,0
27-11 20:20:41,17.177,1.184,81.638,0,0,28063944704,97789362176,770666496,140930899968,10644,11088,0,65536
27-11 20:20:42,7.197,0.764,92.038,0,0,27501420544,98254245888,770666496,141026304000,3969,7783,0,65536
27-11 20:20:43,13.336,1.443,85.221,0,0,27184320512,98430197760,770666496,141163823104,4712,10954,0,65536
27-11 20:20:44,7.569,0.972,91.417,0.042,0,26783813632,98884194304,770674688,141111590912,10167,5120,0,560259072
27-11 20:20:45,11.729,1.158,87.113,0,0,26512056320,99018055680,770674688,141245816832,2835,5737,0,65536
27-11 20:20:46,14.238,1.755,84.007,0,0,26811408384,98787618816,770674688,141177810944,13280,8484,0,0
27-11 20:20:47,14.421,0.919,84.660,0,0,26582642688,99016798208,770674688,141177741312,13352,8526,0,65536
27-11 20:20:48,19.986,1.015,78.999,0,0,27022389248,98499727360,770674688,141252120576,13611,11616,0,0
27-11 20:20:49,21.521,1.588,76.793,0.098,0,27541610496,97903595520,770678784,141326200832,12008,8450,0,1117667328
27-11 20:20:50,23.464,1.168,75.368,0,0,28058099712,97201631232,770678784,141507198976,2301,3328,0,0
27-11 20:20:51,22.476,1.450,76.074,0,0,28478996480,96628883456,770678784,141654335488,12662,10265,0,0
27-11 20:20:52,11.465,1.057,87.477,0,0,27974959104,97071124480,770678784,141716119552,14796,10254,0,65536
27-11 20:20:53,18.313,1.503,80.184,0,0,27670417408,97238310912,770678784,141849858048,4783,5564,0,65536
27-11 20:20:54,21.575,1.419,77.007,0,0,27608195072,97264439296,770678784,141884661760,2778,5951,0,860160
27-11 20:20:55,16.182,1.114,82.704,0,0,27368349696,97395507200,770678784,141992542208,14122,12704,0,360448
27-11 20:20:56,22.834,1.532,75.634,0,0,27848024064,96846393344,770678784,142059335680,18769,6902,0,0
27-11 20:20:57,16.086,1.486,82.428,0,0,27602415616,97063043072,770678784,142087335936,5029,5716,0,65536
27-11 20:20:58,18.613,1.026,80.361,0,0,27429257216,97158148096,770678784,142163722240,18595,8863,0,65536
27-11 20:20:59,10.334,0.694,88.972,0,0,27477299200,97004175360,770682880,142266662912,17287,11134,0,720896
27-11 20:21:00,7.542,0.972,91.417,0.069,0,27487571968,96837058560,770682880,142419173376,5362,10146,0,837926912
27-11 20:21:01,12.455,0.905,86.641,0,0,27173384192,97127043072,770682880,142442860544,4816,9891,0,65536
27-11 20:21:02,7.592,0.945,91.463,0,0,26735923200,97435414528,770682880,142568873984,4840,9515,0,65536
27-11 20:21:03,9.335,0.736,89.929,0,0,26888015872,97221787648,770682880,142629130240,5804,9424,0,0
27-11 20:21:04,11.589,1.166,87.245,0,0,26570305536,97596715008,770686976,142573776896,22847,14400,0,770048
27-11 20:21:05,3.875,1.010,95.018,0.097,0,26028097536,98139791360,770686976,142573527040,8398,11875,0,1396301824
27-11 20:21:06,5.753,0.556,93.691,0,0,26162872320,97929060352,770686976,142647488512,8541,9047,0,0
27-11 20:21:07,6.745,0.251,93.004,0,0,26312581120,97778749440,770686976,142647803904,7985,8210,0,0
27-11 20:21:08,5.936,0.502,93.562,0,0,26343051264,97605029888,770686976,142787100672,21496,11795,0,0
27-11 20:21:09,4.671,0.403,94.926,0,0,25779159040,98243842048,770691072,142713479168,5768873,7922,0,737280
27-11 20:21:10,10.370,0.416,89.214,0,0,26004430848,97943891968,770691072,142787051520,1276641,10599,0,0
27-11 20:21:11,1.584,0.222,98.152,0.042,0,26005467136,97932529664,770691072,142797385728,5908,9051,0,560046080
27-11 20:21:12,1.974,0.361,97.665,0,0,26008080384,97871851520,770691072,142853083136,5482,7720,0,0
27-11 20:21:13,0.822,0.223,98.956,0,0,25456857088,98424012800,770691072,142852493312,6291,7048,0,65536
27-11 20:21:14,4.714,0.431,94.855,0,0,25640607744,98239602688,770695168,142852517888,2686,4139,0,729088
27-11 20:21:15,9.405,0.777,89.818,0,0,25917911040,97960960000,770695168,142853079040,9157,8745,0,0
27-11 20:21:16,12.481,1.209,86.240,0.069,0,26235334656,97642446848,770695168,142853390336,19051,11382,0,1117896704
27-11 20:21:17,11.043,0.680,88.277,0,0,26450165760,97396031488,770695168,142883139584,18623,8036,0,0
27-11 20:21:18,20.514,0.888,78.598,0,0,27084759040,96715452416,770695168,142927790080,19282,9035,0,0
27-11 20:21:19,16.173,0.793,83.034,0,0,27455553536,96195436544,770699264,143072862208,6671,11348,0,671744
27-11 20:21:20,8.266,0.820,90.914,0,0,27488296960,96063283200,770699264,143169536000,18609,10291,0,0
27-11 20:21:21,6.298,1.124,92.537,0.042,0,26951176192,96401268736,770699264,143365353472,4524,8836,0,279609344
27-11 20:21:22,14.393,1.595,84.013,0,0,26738786304,96516931584,770699264,143458725888,6703,11986,0,65536
27-11 20:21:23,8.549,0.947,90.504,0,0,26353238016,96976990208,770699264,143385403392,5147,7962,0,65536
27-11 20:21:24,19.683,1.557,78.760,0,0,26849239040,96339378176,770703360,143523303424,23053,9372,0,851968
27-11 20:21:25,14.025,1.002,84.973,0,0,26615693312,96685907968,770703360,143412510720,7347,12139,0,65536
27-11 20:21:26,11.984,1.446,86.445,0.125,0,26821820416,96403779584,770703360,143486595072,33628,8313,0,1396244480
27-11 20:21:27,23.233,1.055,75.712,0,0,27334635520,95889809408,770703360,143486914560,4195,8750,0,0
27-11 20:21:28,17.651,1.198,81.151,0,0,27681501184,95307325440,770703360,143716454400,22118,12798,0,0
27-11 20:21:29,20.814,1.041,78.145,0,0,28038176768,94966267904,770711552,143700770816,20084,10120,0,794624
27-11 20:21:30,16.329,1.001,82.671,0,0,27723407360,95054864384,770711552,143922106368,41895,7565,0,65536
27-11 20:21:31,10.576,1.346,88.078,0,0,27861065728,94892355584,770711552,143945007104,76789,6632,0,0
27-11 20:21:32,13.401,1.339,85.204,0.056,0,27024330752,95611953152,770727936,144059371520,3115,5956,0,558604288
27-11 20:21:33,20.053,1.755,78.192,0,0,27486310400,95089287168,770732032,144116875264,19665,8715,0,0
27-11 20:21:34,18.510,1.556,79.933,0,0,27311136768,95214792704,770732032,144164843520,19441,13416,0,1064960
27-11 20:21:35,10.111,2.288,87.601,0,0,26812686336,95609786368,770736128,144264302592,71887165,176765,0,196608
27-11 20:21:36,23.077,2.996,73.927,0,0,27406274560,94722134016,770736128,144550719488,118506751,255915,0,0
27-11 20:21:37,22.487,3.183,74.302,0.028,0,27894337536,94086852608,770736128,144694878208,122620769,280825,0,558530560
27-11 20:21:38,15.584,2.879,81.537,0,0,28100497408,93383995392,770768896,145178693632,123052255,274355,0,0
27-11 20:21:39,11.368,3.298,85.335,0,0,27602149376,93718654976,770772992,145337229312,123123050,331886,0,65536
27-11 20:21:40,8.077,2.771,89.152,0,0,27055710208,93857554432,770781184,145735933952,122618337,342257,0,1179648
27-11 20:21:41,16.745,3.568,79.686,0,0,26841092096,93945417728,770781184,145858445312,122481408,281962,0,65536
27-11 20:21:42,21.468,3.338,75.180,0.014,0,27344646144,93072498688,770797568,146217381888,122638189,235329,0,280264704
27-11 20:21:43,17.802,3.816,78.382,0,0,27659583488,92397498368,770809856,146567176192,123133018,222889,0,0
27-11 20:21:44,15.411,3.641,80.878,0.069,0,27329150976,92409155584,770818048,146875994112,122593503,240891,0,740110336
27-11 20:21:45,13.211,3.372,83.375,0.042,0,26937028608,92619857920,770830336,147052425216,123034262,250060,0,1215442944
27-11 20:21:46,28.540,3.672,67.789,0,0,27659673600,91539124224,770846720,147400261632,123019640,251774,0,1201504256
27-11 20:21:47,23.506,3.196,73.298,0,0,28106203136,90896150528,770895872,147591446528,119034837,260632,0,1032208384
27-11 20:21:48,12.503,1.445,86.052,0,0,28179759104,90335395840,770899968,148065693696,123093871,274176,0,0
27-11 20:21:49,10.065,1.960,87.961,0.014,0,27629658112,90490753024,770916352,148449968128,123094039,296342,0,279240704
27-11 20:21:50,17.913,2.779,79.308,0,0,27407126528,91851853824,770928640,147341533184,123061745,257432,0,280215552
27-11 20:21:51,17.412,2.124,80.464,0,0,27219767296,91864080384,770932736,147513311232,122968051,272191,0,279240704
27-11 20:21:52,8.564,1.251,90.185,0,0,27267784704,91326976000,770936832,147990769664,123037239,325688,0,1630208
27-11 20:21:53,6.233,1.405,92.361,0,0,26712555520,91729358848,770940928,148137709568,123136819,356726,0,279240704
27-11 20:21:54,12.324,1.351,86.325,0,0,26524172288,91547189248,770940928,148498907136,123003165,347545,0,279240704
27-11 20:21:55,8.225,0.683,91.092,0,0,26696511488,91048693760,770953216,148816818176,123100259,351746,0,851968
27-11 20:21:56,5.896,0.848,93.255,0,0,26704404480,90573844480,770953216,149270732800,123067446,351669,0,0
27-11 20:21:57,4.439,1.387,94.146,0.028,0,26147319808,90857525248,770953216,149538131968,122979302,350865,0,279650304
27-11 20:21:58,1.387,1.026,97.587,0,0,25792204800,90961612800,770953216,149782052864,123099798,348726,0,141279232
27-11 20:21:59,1.389,0.653,97.957,0,0,25791664128,92096532480,770953216,148677521408,123050668,347750,0,0
27-11 20:22:00,1.446,0.459,98.096,0,0,25793011712,91770359808,770957312,148994392064,121262788,346027,0,704512
27-11 20:22:01,1.376,0.445,98.179,0,0,25791762432,91443019776,770957312,149313839104,121728010,343634,0,0
27-11 20:22:02,1.431,0.445,98.125,0,0,25791729664,91113877504,770957312,149634506752,122583714,344816,0,221184
27-11 20:22:03,1.335,0.514,98.151,0,0,25792253952,90784661504,770957312,149954301952,123018405,345978,0,0
27-11 20:22:04,1.390,0.472,98.138,0,0,25791520768,90456162304,770957312,150274109440,122273856,344730,0,0
27-11 20:22:05,4.893,0.459,94.648,0,0,25934024704,90003931136,770961408,150575566848,116276208,326412,0,188416
27-11 20:22:06,1.154,0.667,98.179,0,0,25933832192,91139551232,770961408,149470740480,123063053,345562,0,0
27-11 20:22:07,1.225,0.626,98.024,0.125,0,25934319616,90815582208,770961408,149785780224,122684731,346924,0,922796032
27-11 20:22:08,1.224,0.515,98.233,0.028,0,25934065664,90489044992,770961408,150103531520,122937671,345516,0,195289088
27-11 20:22:09,1.306,0.625,98.068,0,0,25934200832,90162073600,770961408,150421569536,122917947,346254,0,0
27-11 20:22:10,1.500,0.431,98.069,0,0,25934618624,89835122688,770965504,150739501056,123063995,346836,0,475136
27-11 20:22:11,1.599,0.487,97.914,0,0,25934356480,89509519360,770965504,151056556032,122654300,344664,0,0
27-11 20:22:12,1.361,0.639,97.999,0,0,25934204928,89182834688,770965504,151374127104,122631605,345318,0,0
27-11 20:22:13,1.211,1.378,96.854,0.557,0,25936539648,90319372288,771039232,150265651200,122442820,345924,0,4898619392
27-11 20:22:14,1.238,0.751,97.774,0.236,0,25934999552,89993572352,771067904,150584483840,122893631,345396,0,2081554432
27-11 20:22:15,1.474,0.459,98.068,0,0,25935245312,89665798144,771076096,150903279616,122657434,345250,0,671744
27-11 20:22:16,1.237,0.528,98.234,0,0,25935716352,89336565760,771076096,151222923264,123039741,346866,0,0
27-11 20:22:17,1.888,0.597,97.515,0,0,25948790784,88996511744,771076096,151541129216,122299860,343600,0,0
27-11 20:22:18,1.475,0.557,97.968,0,0,25930301440,88688254976,771076096,151859433472,123039054,346292,0,0
27-11 20:22:19,1.403,1.222,96.917,0.458,0,25930326016,88359641088,771076096,152178450432,123055570,347506,0,4017717248
27-11 20:22:20,1.238,0.890,97.635,0.236,0,25931411456,89535447040,771088384,151032311808,123056577,344796,0,1845821440
27-11 20:22:21,1.501,0.695,97.803,0,0,25931374592,89296244736,771088384,151265923072,123062454,344950,0,0
27-11 20:22:22,1.474,0.584,97.941,0,0,25931952128,89055735808,771088384,151499923456,123041105,345308,0,0
27-11 20:22:23,1.390,0.778,97.832,0,0,25931083776,88815792128,771088384,151733960704,123061897,344885,0,0
27-11 20:22:24,1.583,0.750,97.667,0,0,25932275712,88576925696,771088384,151965896704,121160496,345939,0,0
27-11 20:22:25,1.416,1.389,96.931,0.264,0,25931792384,88336809984,771092480,152199606272,122633592,343822,0,3125305344
27-11 20:22:26,1.362,1.056,97.373,0.208,0,25930022912,88098635776,771092480,152432779264,122039691,342688,0,2181005312
27-11 20:22:27,1.459,0.625,97.916,0,0,25930412032,87858585600,771092480,152665915392,122705776,344654,0,0
27-11 20:22:28,1.346,0.847,97.807,0,0,25930276864,87618093056,771092480,152899891200,123063987,344450,0,0
27-11 20:22:29,1.334,0.792,97.874,0,0,25930960896,87350239232,771092480,153160101888,122964806,346230,0,0
27-11 20:22:30,1.321,0.528,98.151,0,0,25930702848,87028150272,771100672,153474088960,122743210,345272,0,434176
27-11 20:22:31,1.152,1.457,96.947,0.444,0,25929756672,88164151296,771145728,152368939008,123046339,346364,0,3820994560
27-11 20:22:32,1.195,0.723,98.027,0.056,0,25928691712,87843123200,771145728,152682778624,122696756,345414,0,645808128
27-11 20:22:33,1.264,0.639,98.097,0,0,25929457664,87520010240,771145728,152996569088,123052444,346778,0,0
27-11 20:22:34,1.304,0.611,98.085,0,0,25929216000,87197270016,771145728,153310494720,122288176,344364,0,0
27-11 20:22:35,1.266,0.612,98.122,0,0,25929732096,86878048256,771145728,153620758528,122180985,342494,0,565248
27-11 20:22:36,1.375,0.500,98.124,0,0,25929838592,86553161728,771145728,153936748544,123058597,346302,0,0
27-11 20:22:37,1.294,1.183,97.065,0.459,0,25930108928,86228099072,771149824,154252877824,123057691,346430,0,4187668480
27-11 20:22:38,1.555,0.667,97.778,0,0,25932283904,87362097152,771153920,153146253312,123045450,351874,0,638976
27-11 20:22:39,2.458,0.542,97.000,0,0,25933500416,87040827392,771153920,153458302976,123030629,347193,0,0
27-11 20:22:40,1.265,0.542,98.193,0,0,25932836864,86719324160,771153920,153772097536,123067631,346132,0,0
27-11 20:22:41,1.529,0.487,97.984,0,0,25937801216,86392602624,771153920,154085216256,123046993,346268,0,0
27-11 20:22:42,1.236,0.639,98.083,0.042,0,25937735680,86070194176,771153920,154399014912,123070612,345514,0,506765312
27-11 20:22:43,1.735,0.583,97.599,0.083,0,25934667776,85751816192,771162112,154711633920,123043337,346998,0,610230272
27-11 20:22:44,1.265,0.487,98.248,0,0,25925763072,85439123456,771162112,155024482304,123065787,347370,0,0
27-11 20:22:45,1.293,0.473,98.234,0,0,25925869568,86572601344,771162112,153918705664,123044780,345922,0,0
27-11 20:22:46,1.418,0.459,98.123,0,0,25925140480,86257025024,771162112,154228506624,123045104,346744,0,0
27-11 20:22:47,1.349,0.487,98.165,0,0,25925844992,85938614272,771162112,154538573824,123070001,346214,0,0
27-11 20:22:48,1.308,1.071,97.134,0.487,0,25925857280,85614555136,771174400,154853576704,121921708,346869,0,4188348416
27-11 20:22:49,1.322,0.529,98.149,0,0,25926508544,85288259584,771174400,155170357248,122716933,346162,0,0
27-11 20:22:50,1.335,0.473,98.193,0,0,25925263360,84963254272,771174400,155487399936,122693426,345402,0,0
27-11 20:22:51,1.389,0.417,98.194,0,0,25925918720,84637392896,771174400,155803807744,122241824,344054,0,0
27-11 20:22:52,1.500,0.472,98.028,0,0,25925419008,84313014272,771174400,156120182784,122380542,344842,0,0
27-11 20:22:53,1.195,0.750,98.055,0,0,25926586368,85443612672,771182592,155018371072,123041790,347583,0,466944
27-11 20:22:54,1.251,1.154,97.108,0.487,0,25927159808,85116215296,771182592,155337240576,122486321,344340,0,4187611136
27-11 20:22:55,1.390,0.528,98.082,0,0,25926885376,84787007488,771182592,155657437184,123038939,346884,0,0
27-11 20:22:56,1.376,0.500,98.124,0,0,25925197824,84462141440,771182592,155975262208,122864841,346026,0,0
27-11 20:22:57,1.363,0.348,98.289,0,0,25925132288,84132700160,771182592,156295553024,123064665,345712,0,0
27-11 20:22:58,1.376,0.528,98.096,0,0,25925058560,83804930048,771186688,156614733824,122373251,345016,0,352256
27-11 20:22:59,1.375,0.556,98.069,0,0,25924739072,83476406272,771186688,156934557696,123040971,345726,0,0
27-11 20:23:00,1.265,0.779,97.803,0.153,0,25924628480,84607332352,771186688,155834040320,123062555,346164,0,1397096448
27-11 20:23:01,1.377,0.459,98.164,0,0,25925615616,84279631872,771186688,156152602624,122911734,346496,0,0
27-11 20:23:02,1.292,0.472,98.235,0,0,25925279744,83951890432,771186688,156471435264,123052118,345634,0,0
27-11 20:23:03,1.252,0.515,98.234,0,0,25925529600,83624321024,771190784,156789911552,122332937,344512,0,434176
27-11 20:23:04,1.403,0.556,98.041,0,0,25926139904,83296747520,771190784,157108277248,122121188,344260,0,0
27-11 20:23:05,1.500,1.069,97.014,0.417,0,25919377408,82992672768,771198976,157410541568,120652786,338716,0,3429122048
27-11 20:23:06,1.389,0.528,98.028,0.056,0,25919164416,82726629376,771198976,157669408768,123108394,346716,0,479313920
27-11 20:23:07,1.583,0.653,97.764,0,0,25915863040,83859877888,771198976,156569845760,123035196,346662,0,0
27-11 20:23:08,1.321,0.417,98.262,0,0,25915310080,83544121344,771207168,156877688832,110440782,310978,0,573440
27-11 20:23:09,1.195,0.306,98.499,0,0,25914920960,83334991872,771207168,157081628672,6093,3426,0,0
