"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","nother-Super-Server",,,,"User:","nother"
"Cmdline:","dstat -tcmnd --output 0.01_5g.csv 1",,,,"Date:","29 Nov 2025 01:03:55 CST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ"
29-11 01:04:25,4.423,1.029,94.547,0,0,24582156288,100696354816,876150784,141390528512,123065820,340918,0,0,
29-11 01:04:26,5.071,1.243,93.658,0.028,0,24142364672,101152944128,876150784,141375168512,119486380,285135,0,279240704,
29-11 01:04:27,5.651,0.612,93.737,0,0,24245325824,100932251648,876150784,141489913856,119666353,313918,0,24576,
29-11 01:04:28,3.003,0.417,96.580,0,0,24251834368,100808310784,876158976,141604429824,119857609,332465,0,475136,
29-11 01:04:29,1.933,0.375,97.692,0,0,24254078976,100624465920,876158976,141781274624,119872366,335497,0,0,
29-11 01:04:30,9.166,0.781,90.053,0,0,24477552640,100268531712,876158976,141910933504,123036243,311409,0,0,
29-11 01:04:31,2.408,0.515,97.077,0,0,24480567296,100057763840,876158976,142112845824,121836298,336120,0,0,
29-11 01:04:32,1.586,0.529,97.885,0,0,24482226176,99958755328,876158976,142207070208,119402438,336898,0,8192,
29-11 01:04:33,0.390,0.794,98.787,0.028,0,23913742336,100410556416,876163072,142321340416,119762146,336014,0,279429120,
29-11 01:04:34,0.404,0.223,99.374,0,0,23914192896,100292575232,876163072,142435667968,119692846,335719,0,0,
29-11 01:04:35,0.208,0.347,99.445,0,0,23914123264,100174602240,876163072,142550458368,119775593,336075,0,0,
29-11 01:04:36,0.389,0.375,99.235,0,0,23915016192,100052766720,876163072,142668087296,123060108,345371,0,0,
29-11 01:04:37,0.403,0.306,99.291,0,0,23914323968,99935444992,876163072,142782873600,120103948,334919,0,1196032,
29-11 01:04:38,0.417,0.306,99.277,0,0,23915016192,99815538688,876175360,142899228672,121880636,341520,0,335872,
29-11 01:04:39,0.514,0.306,99.180,0,0,23916023808,99696185344,876175360,143013990400,119750472,337705,0,0,
29-11 01:04:40,0.584,0.292,99.124,0,0,23936307200,99560431616,876175360,143126306816,117500204,327679,0,0,
29-11 01:04:41,0.264,0.348,99.388,0,0,23936090112,99442614272,876175360,143241154560,120067345,337633,0,0,
29-11 01:04:42,0.265,0.334,99.401,0,0,23935217664,99324047360,876175360,143357616128,121974890,342959,0,0,
29-11 01:04:43,1.918,0.417,97.665,0,0,23943385088,99044339712,876179456,143621623808,119524063,334919,0,319488,
29-11 01:04:44,1.280,0.473,98.247,0,0,23943168000,98718978048,876179456,143938404352,118812943,334693,0,0,
29-11 01:04:45,1.556,0.445,97.999,0,0,23944544256,98388946944,876179456,144258371584,121958569,347740,0,0,
29-11 01:04:46,1.267,0.543,98.191,0,0,23943258112,98063810560,876179456,144575619072,119056852,334943,0,0,
29-11 01:04:47,3.799,0.793,95.408,0,0,24043593728,97639256064,876179456,144891072512,123097169,347535,0,0,
29-11 01:04:48,8.471,1.015,90.513,0,0,24333504512,97049632768,876183552,145182605312,118558920,335512,0,278528,
29-11 01:04:49,10.353,0.917,88.730,0,0,24576098304,96511320064,876183552,145468878848,120210563,344567,0,0,
29-11 01:04:50,6.330,0.793,92.877,0,0,24621727744,97689579520,876183552,144277053440,119080941,336280,0,0,
29-11 01:04:51,10.196,0.695,89.110,0,0,24853057536,97265987584,876183552,144464613376,119074761,329740,0,0,
29-11 01:04:52,9.689,0.627,89.656,0.028,0,25076719616,96837705728,876183552,144664231936,121871513,349240,0,281305088,
29-11 01:04:53,3.739,0.598,95.663,0,0,25082019840,96541581312,876191744,144947466240,123095205,347555,0,565248,
29-11 01:04:54,4.406,1.129,94.451,0.014,0,24519790592,96827224064,876191744,145217540096,119811654,337981,0,279240704,
29-11 01:04:55,2.111,0.986,96.875,0.028,0,23948386304,97210658816,876191744,145399967744,119674891,339229,0,279240704,
29-11 01:04:56,1.335,0.417,98.248,0,0,23948533760,96884330496,876191744,145717456896,118762871,334909,0,0,
29-11 01:04:57,1.472,0.472,98.028,0.028,0,23948423168,96557694976,876191744,146035314688,118805449,333359,0,357294080,
29-11 01:04:58,1.612,0.542,97.818,0.028,0,23948398592,96230744064,876204032,146353221632,119969926,338392,0,202842112,
29-11 01:04:59,1.377,0.348,98.275,0,0,23948959744,95901827072,876204032,146672791552,121964131,342515,0,0,
29-11 01:05:00,1.363,0.403,98.234,0,0,23948963840,95576481792,876204032,146989309952,118764251,333293,0,0,
29-11 01:05:01,1.181,0.542,98.278,0,0,23950356480,96840675328,876204032,145754218496,119963819,341918,0,0,
29-11 01:05:02,0.361,0.209,99.430,0,0,23950372864,96838643712,876204032,145756282880,114069221,321112,0,0,
29-11 01:05:03,1.167,0.389,98.430,0.014,0,23950372864,96695177216,876216320,145898713088,553,1391,0,279461888,
29-11 01:05:04,5.687,0.599,93.713,0,0,24492027904,95958274048,876216320,146088747008,656,3014,0,0,
29-11 01:05:05,1.528,0.236,98.236,0,0,24490201088,95742636032,876216320,146300411904,726,839,0,0,
29-11 01:05:06,1.250,0.278,98.472,0,0,24491286528,95523983360,876216320,146512199680,1024,4097,0,0,
29-11 01:05:07,1.195,0.292,98.514,0,0,24491323392,95306207232,876216320,146723999744,1526,1989,0,0,
29-11 01:05:08,1.195,0.208,98.596,0,0,24491343872,95088148480,876224512,146935939072,411,1271,0,114688,
29-11 01:05:09,1.236,0.333,98.431,0,0,24490979328,94870597632,876224512,147148066816,491,1759,0,0,
29-11 01:05:10,5.746,0.612,93.641,0,0,24496082944,96041009152,876224512,146004209664,2521,6784,0,0,
29-11 01:05:11,3.551,0.596,95.852,0,0,24510533632,95867564032,876224512,146158678016,734,1899,0,0,
29-11 01:05:12,2.342,0.418,97.240,0,0,24514412544,95706128384,876224512,146312040448,1495,5769,0,0,
29-11 01:05:13,2.030,0.932,96.719,0.320,0,24534720512,95525322752,876232704,146468139008,849,3517,0,2791972864,
29-11 01:05:14,1.849,0.486,97.665,0,0,24535777280,95360679936,876232704,146627088384,3118,2959,0,0,
29-11 01:05:15,1.861,0.500,97.639,0,0,24525316096,95206490112,876232704,146787160064,2846,4815,0,0,
29-11 01:05:16,1.904,0.472,97.624,0,0,24525369344,95043395584,876232704,146945826816,1028,4579,0,0,
29-11 01:05:17,1.904,0.459,97.637,0,0,24529391616,94877118464,876232704,147103657984,1249,2890,0,0,
29-11 01:05:18,1.986,0.542,97.473,0,0,24528633856,94714961920,876244992,147262201856,1423,4794,0,385024,
29-11 01:05:19,1.780,0.473,97.747,0,0,24530259968,94548344832,876244992,147422769152,1568,5343,0,0,
29-11 01:05:20,1.807,0.431,97.762,0,0,24532774912,94382505984,876244992,147581779968,788,1900,0,0,
29-11 01:05:21,1.613,0.556,97.831,0,0,24535240704,94214275072,876244992,147742846976,1124,4500,0,0,
29-11 01:05:22,1.919,0.501,97.580,0,0,24539631616,94047453184,876244992,147901001728,3004,6334,0,0,
29-11 01:05:23,1.684,0.417,97.899,0,0,24539500544,93882654720,876253184,148061687808,1082,2895,0,155648,
29-11 01:05:24,2.056,1.014,96.611,0.319,0,24540114944,93712961536,876253184,148225839104,1549,4968,0,3350298624,
29-11 01:05:25,2.209,0.500,97.291,0,0,24541175808,93542236160,876253184,148390940672,307122,3251,0,0,
29-11 01:05:26,1.642,0.570,97.788,0,0,24542978048,93368700928,876253184,148557905920,968,3712,0,0,
29-11 01:05:27,1.710,0.487,97.804,0,0,24542892032,93198307328,876253184,148723691520,1004,4426,0,0,
29-11 01:05:28,1.627,0.501,97.872,0,0,24544501760,93026189312,876261376,148889673728,788,1900,0,409600,
29-11 01:05:29,1.780,0.556,97.650,0.014,0,24545472512,92854673408,876261376,149056401408,1765,5117,0,279879680,
29-11 01:05:30,1.738,0.501,97.761,0,0,24544694272,92682432512,876261376,149224140800,1243,4574,0,0,
29-11 01:05:31,1.930,0.472,97.598,0,0,24546000896,92509757440,876261376,149390843904,729,1900,0,0,
29-11 01:05:32,1.932,0.487,97.581,0,0,24545529856,92339396608,876261376,149557268480,1268,4174,0,0,
29-11 01:05:33,1.628,0.543,97.830,0,0,24545239040,92167680000,876261376,149724327936,4207,5487,0,139264,
29-11 01:05:34,1.860,0.708,97.294,0.139,0,24546316288,91994722304,876261376,149891649536,1058,1954,0,1175445504,
29-11 01:05:35,1.710,0.848,97.219,0.223,0,24547708928,91820359680,876261376,150059900928,1148,5106,0,1966063616,
29-11 01:05:36,1.861,0.458,97.681,0,0,24548536320,91646771200,876261376,150227886080,2524,4548,0,0,
29-11 01:05:37,1.711,0.431,97.857,0,0,24549740544,91474087936,876261376,150394826752,1586,2961,0,0,
29-11 01:05:38,1.833,0.486,97.681,0,0,24550236160,91301912576,876269568,150561726464,1154,3258,0,278528,
29-11 01:05:39,1.845,0.583,97.573,0,0,24550187008,91130552320,876269568,150728568832,2225,5416,0,0,
29-11 01:05:40,1.669,0.556,97.760,0.014,0,24549814272,90959208448,876269568,150895521792,2068,2233,0,270647296,
29-11 01:05:41,1.111,0.875,98.015,0,0,24551587840,96222121984,876277760,145768349696,2950,10871,0,69124096,
29-11 01:05:42,0.056,0.167,99.777,0,0,23595331584,97179668480,876277760,145768001536,1806,3322,0,0,
29-11 01:05:43,0.014,0.028,99.958,0,0,23594225664,97180348416,876277760,145767968768,232,818,0,0,
29-11 01:05:44,0,0.056,99.944,0,0,23594094592,97180479488,876277760,145767968768,1111,1610,0,0,
29-11 01:05:45,0.014,0.236,99.528,0.222,0,23594344448,97180770304,876277760,145767428096,1158,1264,0,1623244800,
